ZFIN:ZDB-GENE-010226-1	glial cell derived neurotrophic factor a		GO:0001755		UniProt	NCBITaxon:7955	ISS	UniProtKB:P39905	PANTHER:PTHR12173	protein_coding_gene		ZFIN:ZDB-PUB-110105-1	20110409	gdnfa
UniProtKB:A0A2R8QFP9	Uncharacterized protein		GO:0001755		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000867340|ZFIN:ZDB-GENE-990715-2|ZFIN:ZDB-GENE-050513-1|MGI:MGI:1096347|MGI:MGI:107557|ZFIN:ZDB-GENE-050513-4|MGI:MGI:107558|ZFIN:ZDB-GENE-050513-3	PANTHER:PTHR11036	protein		PMID:21873635	20200807	A0A2R8QFP9
UniProtKB:A0A2R8QFP9	Uncharacterized protein		GO:2001224		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN002592898|MGI:MGI:1203727	PANTHER:PTHR11036	protein		PMID:21873635	20190311	A0A2R8QFP9
UniProtKB:A0A2R8QFP9	Uncharacterized protein		GO:0030335		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000867340|MGI:MGI:107557|MGI:MGI:2387661|MGI:MGI:109244|MGI:MGI:107558|MGI:MGI:1203727|MGI:MGI:107556|UniProtKB:Q92854	PANTHER:PTHR11036	protein		PMID:21873635	20200807	A0A2R8QFP9
ZFIN:ZDB-GENE-100701-3	coiled-coil domain containing 88Ab		GO:0016477		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR027717		protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201013	ccdc88ab
ZFIN:ZDB-GENE-100701-2	coiled-coil domain containing 88Aa		GO:0016477		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR027717	PANTHER:PTHR18947	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201013	ccdc88aa
ZFIN:ZDB-GENE-980526-562	ISL LIM homeobox 2a		GO:0035476		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-171006-2	PANTHER:PTHR24204	protein_coding_gene		PMID:27126199|ZFIN:ZDB-PUB-170809-12	20180103	isl2a
ZFIN:ZDB-GENE-980526-562	ISL LIM homeobox 2a		GO:0035476		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-180103-4	PANTHER:PTHR24204	protein_coding_gene		PMID:27126199|ZFIN:ZDB-PUB-170809-12	20180103	isl2a
ZFIN:ZDB-GENE-980526-562	ISL LIM homeobox 2a		GO:0035476		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-171006-1	PANTHER:PTHR24204	protein_coding_gene		PMID:27126199|ZFIN:ZDB-PUB-170809-12	20180103	isl2a
ZFIN:ZDB-GENE-980526-562	ISL LIM homeobox 2a		GO:0035476		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-180103-3	PANTHER:PTHR24204	protein_coding_gene		PMID:27126199|ZFIN:ZDB-PUB-170809-12	20180103	isl2a
ZFIN:ZDB-GENE-980526-562	ISL LIM homeobox 2a		GO:0035476		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-171006-1|ZFIN:ZDB-MRPHLNO-171006-2	PANTHER:PTHR24204	protein_coding_gene		PMID:27126199|ZFIN:ZDB-PUB-170809-12	20180103	isl2a
ZFIN:ZDB-GENE-980526-549	activin A receptor type 2Ba		GO:0001755		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-050811-2	PANTHER:PTHR23255	protein_coding_gene		PMID:15977175|ZFIN:ZDB-PUB-050701-3	20050815	acvr2ba
ZFIN:ZDB-GENE-020806-5	estrogen receptor 1		GO:0048920		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-GENO-071022-3|ZFIN:ZDB-MRPHLNO-100608-9	PANTHER:PTHR48092	protein_coding_gene		PMID:20308561|ZFIN:ZDB-PUB-100330-10	20110505	esr1
ZFIN:ZDB-GENE-020806-5	estrogen receptor 1		GO:0048920		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-MRPHLNO-050324-1|ZFIN:ZDB-MRPHLNO-100608-9	PANTHER:PTHR48092	protein_coding_gene		PMID:20308561|ZFIN:ZDB-PUB-100330-10	20110505	esr1
ZFIN:ZDB-GENE-020806-5	estrogen receptor 1		GO:0048920		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-100608-9	PANTHER:PTHR48092	protein_coding_gene		PMID:20308561|ZFIN:ZDB-PUB-100330-10	20110505	esr1
ZFIN:ZDB-GENE-050302-113	neuregulin 1		GO:0001755		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-MRPHLNO-081219-2|ZFIN:ZDB-MRPHLNO-081222-3	PANTHER:PTHR11100	protein_coding_gene		PMID:18599505|ZFIN:ZDB-PUB-080707-10	20090206	nrg1
ZFIN:ZDB-GENE-050302-113	neuregulin 1		GO:0036135		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-120309-6	PANTHER:PTHR11100	protein_coding_gene		PMID:21965611|ZFIN:ZDB-PUB-111019-16	20120313	nrg1
ZFIN:ZDB-GENE-040426-2477	leukotriene A4 hydrolase		GO:0030593		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-100504-7	PANTHER:PTHR45726	protein_coding_gene		PMID:25582859|ZFIN:ZDB-PUB-150115-16	20170810	lta4h
ZFIN:ZDB-GENE-030616-177	Rho family GTPase 2		GO:0016477		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN001178055|ZFIN:ZDB-GENE-040322-2|MGI:MGI:1096342|FB:FBgn0014020|UniProtKB:P61586	PANTHER:PTHR24072	protein_coding_gene		PMID:21873635	20200809	rnd2
ZFIN:ZDB-GENE-070511-1	protein kinase C, zeta		GO:0090049		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-070511-1	PANTHER:PTHR24356	protein_coding_gene		PMID:22936663|ZFIN:ZDB-PUB-120905-2	20140127	prkcz
ZFIN:ZDB-GENE-010406-2	myeloid ecotropic viral integration site 3		GO:1901166		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-080117-1	PANTHER:PTHR11850	protein_coding_gene		PMID:26354419|ZFIN:ZDB-PUB-150912-13	20160212	meis3
ZFIN:ZDB-GENE-030616-115	leukocyte receptor tyrosine kinase		GO:0097324		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-120316-47	PANTHER:PTHR24416	protein_coding_gene		PMID:24173565|ZFIN:ZDB-PUB-970108-4	20141230	ltk
ZFIN:ZDB-GENE-060531-121	laminin, gamma 3		GO:0016477		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000832450|UniProtKB:P11047|UniProtKB:Q9UIK5	PANTHER:PTHR10574	protein_coding_gene		PMID:21873635	20190301	lamc3
ZFIN:ZDB-GENE-060531-161	actin related protein 2/3 complex, subunit 5-like, b		GO:0016477		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000974138|RGD:1311791|UniProtKB:O15511|WB:WBGene00000205	PANTHER:PTHR12644	protein_coding_gene		PMID:21873635	20200808	arpc5lb
ZFIN:ZDB-GENE-070818-1	lysyl oxidase-like 2a		GO:0043542		UniProt	NCBITaxon:7955	ISS	UniProtKB:Q9Y4K0	PANTHER:PTHR45817	protein_coding_gene		ZFIN:ZDB-PUB-110105-1	20120503	loxl2a
ZFIN:ZDB-GENE-041010-80	jagunal homolog 1a		GO:1990266		UniProt	NCBITaxon:7955	ISS	UniProtKB:Q5XKN4	PANTHER:PTHR20955	protein_coding_gene		ZFIN:ZDB-PUB-110105-1	20140921	jagn1a
ZFIN:ZDB-GENE-980526-476	GATA binding protein 4		GO:0060975		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-MRPHLNO-050927-1|ZFIN:ZDB-MRPHLNO-060522-2	PANTHER:PTHR10071	protein_coding_gene		PMID:19297410|ZFIN:ZDB-PUB-090324-3	20100922	gata4
ZFIN:ZDB-GENE-980526-474	bone morphogenetic protein 2b		GO:0060030		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-MRPHLNO-050221-6	PANTHER:PTHR11848	protein_coding_gene		PMID:17331724|ZFIN:ZDB-PUB-070303-41	20070516	bmp2b
ZFIN:ZDB-GENE-980526-474	bone morphogenetic protein 2b		GO:0060030		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-GENE-990415-171	PANTHER:PTHR11848	protein_coding_gene		PMID:17331724|ZFIN:ZDB-PUB-070303-41	20070516	bmp2b
ZFIN:ZDB-GENE-980526-474	bone morphogenetic protein 2b		GO:0042074		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-GENO-980202-1488|ZFIN:ZDB-MRPHLNO-060130-10|ZFIN:ZDB-MRPHLNO-060130-7|ZFIN:ZDB-MRPHLNO-060130-8|ZFIN:ZDB-MRPHLNO-060130-9	PANTHER:PTHR11848	protein_coding_gene		PMID:16216234|ZFIN:ZDB-PUB-051012-21	20060130	bmp2b
ZFIN:ZDB-GENE-980526-474	bone morphogenetic protein 2b		GO:0060030		ZFIN	NCBITaxon:7955	IDA		PANTHER:PTHR11848	protein_coding_gene		PMID:17331724|ZFIN:ZDB-PUB-070303-41	20070516	bmp2b
ZFIN:ZDB-GENE-980526-474	bone morphogenetic protein 2b		GO:0060030		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-MRPHLNO-060930-5	PANTHER:PTHR11848	protein_coding_gene		PMID:17331724|ZFIN:ZDB-PUB-070303-41	20070516	bmp2b
ZFIN:ZDB-GENE-980526-464	KIT proto-oncogene, receptor tyrosine kinase a		GO:0097324		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-980202-47	PANTHER:PTHR24416	protein_coding_gene		PMID:10393121|ZFIN:ZDB-PUB-990830-7	20140324	kita
ZFIN:ZDB-GENE-980526-464	KIT proto-oncogene, receptor tyrosine kinase a		GO:0030335		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN002814378|RGD:620568	PANTHER:PTHR24416	protein_coding_gene		PMID:21873635	20181015	kita
ZFIN:ZDB-GENE-030131-7864	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E		GO:0030335		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000867340|MGI:MGI:107557|MGI:MGI:2387661|MGI:MGI:109244|MGI:MGI:107558|MGI:MGI:1203727|MGI:MGI:107556|UniProtKB:Q92854	PANTHER:PTHR11036	protein_coding_gene		PMID:21873635	20200807	sema3e
ZFIN:ZDB-GENE-030131-7864	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E		GO:0001755		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000867340|ZFIN:ZDB-GENE-990715-2|ZFIN:ZDB-GENE-050513-1|MGI:MGI:1096347|MGI:MGI:107557|ZFIN:ZDB-GENE-050513-4|MGI:MGI:107558|ZFIN:ZDB-GENE-050513-3	PANTHER:PTHR11036	protein_coding_gene		PMID:21873635	20200807	sema3e
ZFIN:ZDB-GENE-041010-68	beta-secretase 2		GO:0097324		ZFIN	NCBITaxon:7955	IMP		PANTHER:PTHR47965	protein_coding_gene		PMID:23406323|ZFIN:ZDB-PUB-130226-1	20140116	bace2
ZFIN:ZDB-GENE-030131-8561	Thy-1 cell surface antigen		GO:0030334		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR033292	PANTHER:PTHR19226	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201013	thy1
ZFIN:ZDB-GENE-050407-2	prostaglandin E synthase		GO:0042074		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-060220-2	PANTHER:PTHR10689	protein_coding_gene		PMID:16391234|ZFIN:ZDB-PUB-060113-2	20060302	ptges
ZFIN:ZDB-GENE-050407-1	fms related receptor tyrosine kinase 1		GO:0016477		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN002814441|MGI:MGI:96683	PANTHER:PTHR24416	protein_coding_gene		PMID:21873635	20181016	flt1
ZFIN:ZDB-GENE-980526-440	core-binding factor subunit beta		GO:0097535		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-180921-2	PANTHER:PTHR10276	protein_coding_gene		PMID:29343500|ZFIN:ZDB-PUB-180119-3	20180927	cbfb
ZFIN:ZDB-GENE-980526-419	LIM domain only 2 (rhombotin-like 1)		GO:0043534	"{""relationship"": {""relation"": [{""id"": ""BFO:0000066"", ""label"": ""occurs in""}], ""id"": ""ZFA:0001285"", ""label"": ""ZFA:0001285""}}"	ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-080625-2	PANTHER:PTHR45787	protein_coding_gene		PMID:28775072|ZFIN:ZDB-PUB-170805-4	20190925	lmo2
ZFIN:ZDB-GENE-980526-419	LIM domain only 2 (rhombotin-like 1)		GO:0043534	"{""relationship"": {""relation"": [{""id"": ""BFO:0000066"", ""label"": ""occurs in""}], ""id"": ""ZFA:0001285"", ""label"": ""ZFA:0001285""}}"	ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-GENE-980526-419	PANTHER:PTHR45787	protein_coding_gene		PMID:28775072|ZFIN:ZDB-PUB-170805-4	20190925	lmo2
ZFIN:ZDB-GENE-980526-419	LIM domain only 2 (rhombotin-like 1)		GO:0043534	"{""relationship"": {""relation"": [{""id"": ""BFO:0000066"", ""label"": ""occurs in""}], ""id"": ""ZFA:0001285"", ""label"": ""ZFA:0001285""}}"	ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-190515-1	PANTHER:PTHR45787	protein_coding_gene		PMID:28775072|ZFIN:ZDB-PUB-170805-4	20190925	lmo2
ZFIN:ZDB-GENE-980526-419	LIM domain only 2 (rhombotin-like 1)		GO:0043534	"{""relationship"": {""relation"": [{""id"": ""BFO:0000066"", ""label"": ""occurs in""}], ""id"": ""ZFA:0001285"", ""label"": ""ZFA:0001285""}}"	ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-GENE-130312-3	PANTHER:PTHR45787	protein_coding_gene		PMID:28775072|ZFIN:ZDB-PUB-170805-4	20190925	lmo2
ZFIN:ZDB-GENE-070531-3	histamine receptor H1		GO:0048245		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR000921		protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201013	hrh1
ZFIN:ZDB-GENE-030131-823	guanine nucleotide binding protein (G protein), beta polypeptide 1a		GO:0048920		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-MRPHLNO-070126-7	PANTHER:PTHR19850	protein_coding_gene		PMID:24201188|ZFIN:ZDB-PUB-131204-3	20140512	gnb1a
ZFIN:ZDB-GENE-030131-823	guanine nucleotide binding protein (G protein), beta polypeptide 1a		GO:0048920		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-MRPHLNO-120123-1|ZFIN:ZDB-MRPHLNO-120123-2	PANTHER:PTHR19850	protein_coding_gene		PMID:24201188|ZFIN:ZDB-PUB-131204-3	20140512	gnb1a
ZFIN:ZDB-GENE-030131-823	guanine nucleotide binding protein (G protein), beta polypeptide 1a		GO:1902624		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-GENE-040426-2855	PANTHER:PTHR19850	protein_coding_gene		PMID:28554852|ZFIN:ZDB-PUB-170531-10	20171222	gnb1a
ZFIN:ZDB-GENE-030131-823	guanine nucleotide binding protein (G protein), beta polypeptide 1a		GO:0048920		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-GENO-140512-3|ZFIN:ZDB-MRPHLNO-070126-7|ZFIN:ZDB-MRPHLNO-120123-1|ZFIN:ZDB-MRPHLNO-120123-2	PANTHER:PTHR19850	protein_coding_gene		PMID:24201188|ZFIN:ZDB-PUB-131204-3	20140512	gnb1a
ZFIN:ZDB-GENE-111004-2	chemokine (C-X-C motif) ligand 20		GO:0008009		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR001089	PANTHER:PTHR10179	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201013	cxcl20
ZFIN:ZDB-GENE-111004-2	chemokine (C-X-C motif) ligand 20		GO:0008009		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR028469	PANTHER:PTHR10179	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201013	cxcl20
ZFIN:ZDB-GENE-111004-2	chemokine (C-X-C motif) ligand 20		GO:0030593		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR028469	PANTHER:PTHR10179	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201013	cxcl20
ZFIN:ZDB-GENE-111004-2	chemokine (C-X-C motif) ligand 20		GO:0008009		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR033899	PANTHER:PTHR10179	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201013	cxcl20
ZFIN:ZDB-GENE-111004-2	chemokine (C-X-C motif) ligand 20		GO:0008009		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR036048	PANTHER:PTHR10179	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201013	cxcl20
ZFIN:ZDB-GENE-111004-2	chemokine (C-X-C motif) ligand 20		GO:0008009		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR001811	PANTHER:PTHR10179	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201013	cxcl20
ZFIN:ZDB-GENE-111004-2	chemokine (C-X-C motif) ligand 20		GO:0030593		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000021269|UniProtKB:A0A0G2KYH9|UniProtKB:P79255|UniProtKB:P80162|MGI:MGI:1339941|MGI:MGI:3037818|RGD:70069|UniProtKB:P10145|RGD:619869|RGD:621812|UniProtKB:N0GW19|UniProtKB:P80221	PANTHER:PTHR10179	protein_coding_gene		PMID:21873635	20200807	cxcl20
ZFIN:ZDB-GENE-111004-2	chemokine (C-X-C motif) ligand 20		GO:0008009		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000021269|UniProtKB:P80162|MGI:MGI:1888712|UniProtKB:Q07325|RGD:70069|RGD:708540|RGD:619869|UniProtKB:P02778|RGD:620209|UniProtKB:A0A0G2KYH9|MGI:MGI:1339941|MGI:MGI:3037818|UniProtKB:O14625|UniProtKB:P10145|RGD:621812|RGD:727827|ZFIN:ZDB-GENE-090313-165|MGI:MGI:1888499|UniProtKB:O43927|UniProtKB:P80221	PANTHER:PTHR10179	protein_coding_gene		PMID:21873635	20200807	cxcl20
ZFIN:ZDB-GENE-111004-1	chemokine (C-X-C motif) ligand 8b, duplicate 3		GO:0008009		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR033899	PANTHER:PTHR10179	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201013	cxcl8b.3
ZFIN:ZDB-GENE-111004-1	chemokine (C-X-C motif) ligand 8b, duplicate 3		GO:0008009		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR001811	PANTHER:PTHR10179	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201013	cxcl8b.3
ZFIN:ZDB-GENE-111004-1	chemokine (C-X-C motif) ligand 8b, duplicate 3		GO:0008009		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR028469	PANTHER:PTHR10179	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201013	cxcl8b.3
ZFIN:ZDB-GENE-111004-1	chemokine (C-X-C motif) ligand 8b, duplicate 3		GO:0008009		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR001089	PANTHER:PTHR10179	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201013	cxcl8b.3
ZFIN:ZDB-GENE-111004-1	chemokine (C-X-C motif) ligand 8b, duplicate 3		GO:0008009		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR036048	PANTHER:PTHR10179	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201013	cxcl8b.3
ZFIN:ZDB-GENE-111004-1	chemokine (C-X-C motif) ligand 8b, duplicate 3		GO:0030593		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR028469	PANTHER:PTHR10179	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201013	cxcl8b.3
ZFIN:ZDB-GENE-111004-1	chemokine (C-X-C motif) ligand 8b, duplicate 3		GO:0008009		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000021269|UniProtKB:P80162|MGI:MGI:1888712|UniProtKB:Q07325|RGD:70069|RGD:708540|RGD:619869|UniProtKB:P02778|RGD:620209|UniProtKB:A0A0G2KYH9|MGI:MGI:1339941|MGI:MGI:3037818|UniProtKB:O14625|UniProtKB:P10145|RGD:621812|RGD:727827|ZFIN:ZDB-GENE-090313-165|MGI:MGI:1888499|UniProtKB:O43927|UniProtKB:P80221	PANTHER:PTHR10179	protein_coding_gene		PMID:21873635	20200807	cxcl8b.3
ZFIN:ZDB-GENE-111004-1	chemokine (C-X-C motif) ligand 8b, duplicate 3		GO:0030593		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000021269|UniProtKB:A0A0G2KYH9|UniProtKB:P79255|UniProtKB:P80162|MGI:MGI:1339941|MGI:MGI:3037818|RGD:70069|UniProtKB:P10145|RGD:619869|RGD:621812|UniProtKB:N0GW19|UniProtKB:P80221	PANTHER:PTHR10179	protein_coding_gene		PMID:21873635	20200807	cxcl8b.3
ZFIN:ZDB-GENE-030131-4324	lectin, galactoside binding soluble 3b		GO:0048246		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN002602519|UniProtKB:P17931	PANTHER:PTHR11346	protein_coding_gene		PMID:21873635	20190308	lgals3b
ZFIN:ZDB-GENE-030131-4324	lectin, galactoside binding soluble 3b		GO:0048245		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN002602519|UniProtKB:P17931	PANTHER:PTHR11346	protein_coding_gene		PMID:21873635	20190308	lgals3b
ZFIN:ZDB-GENE-030131-4324	lectin, galactoside binding soluble 3b		GO:0002548		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN002602519|UniProtKB:P17931	PANTHER:PTHR11346	protein_coding_gene		PMID:21873635	20190308	lgals3b
ZFIN:ZDB-GENE-030131-4324	lectin, galactoside binding soluble 3b		GO:0030593		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN002602519|UniProtKB:P17931	PANTHER:PTHR11346	protein_coding_gene		PMID:21873635	20190308	lgals3b
ZFIN:ZDB-GENE-030616-78	cadherin EGF LAG seven-pass G-type receptor 1a		GO:0042074		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-050823-1	PANTHER:PTHR24026	protein_coding_gene		PMID:15882862|ZFIN:ZDB-PUB-050513-4	20050829	celsr1a
