ZFIN:ZDB-GENE-061204-1	LARGE xylosyl- and glucuronyltransferase 1		GO:0043403		UniProt	NCBITaxon:7955	ISS	UniProtKB:Q9Z1M7	PANTHER:PTHR12270	protein_coding_gene		ZFIN:ZDB-PUB-110105-1	20141117	large1
ZFIN:ZDB-GENE-040426-2666	JunB proto-oncogene, AP-1 transcription factor subunit b		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-100614-2	PANTHER:PTHR11462	protein_coding_gene		PMID:20144602|ZFIN:ZDB-PUB-100211-30	20120621	junbb
ZFIN:ZDB-GENE-040426-2650	cathepsin Ba		GO:0031101		ZFIN	NCBITaxon:7955	IEP		PANTHER:PTHR12411	protein_coding_gene		PMID:22278371|ZFIN:ZDB-PUB-120127-8	20120725	ctsba
ZFIN:ZDB-GENE-090618-1	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2b		GO:0070654		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-090618-2	PANTHER:PTHR13857	protein_coding_gene		PMID:22262907|ZFIN:ZDB-PUB-120125-32	20120307	apobec2b
ZFIN:ZDB-GENE-021226-1	laminin, beta 1a		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-160129-1	PANTHER:PTHR10574	protein_coding_gene		PMID:26305099|ZFIN:ZDB-PUB-150826-2	20160129	lamb1a
ZFIN:ZDB-GENE-141216-96	ninjurin 1		GO:0042246		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR007007	PANTHER:PTHR12316	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201013	ninj1
ZFIN:ZDB-GENE-030909-1	SRY-box transcription factor 2		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-060922-3	PANTHER:PTHR10270	protein_coding_gene		PMID:20089153|ZFIN:ZDB-PUB-100126-8	20110610	sox2
ZFIN:ZDB-GENE-020828-1	hyaluronan synthase 2		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-160413-11	PANTHER:PTHR22913	protein_coding_gene		PMID:26828861|ZFIN:ZDB-PUB-160202-7	20160907	has2
ZFIN:ZDB-GENE-020828-1	hyaluronan synthase 2		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-160413-12	PANTHER:PTHR22913	protein_coding_gene		PMID:26828861|ZFIN:ZDB-PUB-160202-7	20160907	has2
ZFIN:ZDB-GENE-991105-4	gap junction protein alpha 1b		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-080818-1	PANTHER:PTHR11984	protein_coding_gene		PMID:18406403|ZFIN:ZDB-PUB-080415-14	20080917	gja1b
ZFIN:ZDB-GENE-991105-4	gap junction protein alpha 1b		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-050304-1	PANTHER:PTHR11984	protein_coding_gene		PMID:18406403|ZFIN:ZDB-PUB-080415-14	20080917	gja1b
ZFIN:ZDB-GENE-991105-4	gap junction protein alpha 1b		GO:0031101		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-GENE-991105-4	PANTHER:PTHR11984	protein_coding_gene		PMID:29084713|ZFIN:ZDB-PUB-171101-7	20181009	gja1b
ZFIN:ZDB-GENE-991105-4	gap junction protein alpha 1b		GO:0031101		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-GENE-030131-3196	PANTHER:PTHR11984	protein_coding_gene		PMID:29084713|ZFIN:ZDB-PUB-171101-7	20181009	gja1b
ZFIN:ZDB-GENE-991105-4	gap junction protein alpha 1b		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-080915-2	PANTHER:PTHR11984	protein_coding_gene		PMID:18406403|ZFIN:ZDB-PUB-080415-14	20080917	gja1b
ZFIN:ZDB-GENE-991105-4	gap junction protein alpha 1b		GO:0031101		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-GENO-120514-7|ZFIN:ZDB-MRPHLNO-110713-1	PANTHER:PTHR11984	protein_coding_gene		PMID:26434741|ZFIN:ZDB-PUB-151006-10	20160408	gja1b
ZFIN:ZDB-GENE-991105-4	gap junction protein alpha 1b		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-070819-2	PANTHER:PTHR11984	protein_coding_gene		PMID:29084713|ZFIN:ZDB-PUB-171101-7	20181009	gja1b
ZFIN:ZDB-GENE-030605-1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4a		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-091104-2	PANTHER:PTHR10799	protein_coding_gene		PMID:18950614|ZFIN:ZDB-PUB-081029-13	20091104	smarca4a
ZFIN:ZDB-GENE-030131-4803	metastasis associated 1 family, member 2		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-140930-7	PANTHER:PTHR10865	protein_coding_gene		PMID:24779377|ZFIN:ZDB-PUB-140513-63	20141017	mta2
ZFIN:ZDB-GENE-010328-3	claudin c		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-160627-5	PANTHER:PTHR12002	protein_coding_gene		PMID:26933814|ZFIN:ZDB-PUB-160305-23	20171122	cldnc
ZFIN:ZDB-GENE-041111-259	enhancer of zeste 2 polycomb repressive complex 2 subunit		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-171114-12	PANTHER:PTHR45747	protein_coding_gene		PMID:28887218|ZFIN:ZDB-PUB-170910-3	20171115	ezh2
ZFIN:ZDB-GENE-050913-156	establishment of sister chromatid cohesion N-acetyltransferase 2		GO:0031101		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-GENO-120514-7|ZFIN:ZDB-MRPHLNO-110713-1	PANTHER:PTHR45884	protein_coding_gene		PMID:26434741|ZFIN:ZDB-PUB-151006-10	20160408	esco2
ZFIN:ZDB-GENE-050913-156	establishment of sister chromatid cohesion N-acetyltransferase 2		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-110713-1	PANTHER:PTHR45884	protein_coding_gene		PMID:26434741|ZFIN:ZDB-PUB-151006-10	20160408	esco2
ZFIN:ZDB-GENE-050913-156	establishment of sister chromatid cohesion N-acetyltransferase 2		GO:1990523		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-110713-1	PANTHER:PTHR45884	protein_coding_gene		PMID:26434741|ZFIN:ZDB-PUB-151006-10	20160408	esco2
ZFIN:ZDB-GENE-041111-187	chromodomain helicase DNA binding protein 4a		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-140930-3	PANTHER:PTHR45623	protein_coding_gene		PMID:24779377|ZFIN:ZDB-PUB-140513-63	20141017	chd4a
ZFIN:ZDB-GENE-041111-187	chromodomain helicase DNA binding protein 4a		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-140930-4	PANTHER:PTHR45623	protein_coding_gene		PMID:24779377|ZFIN:ZDB-PUB-140513-63	20141017	chd4a
ZFIN:ZDB-GENE-030116-3	sec1 family domain containing 1		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-030117-1	PANTHER:PTHR11679	protein_coding_gene		PMID:12798289|ZFIN:ZDB-PUB-030716-21	20090811	scfd1
ZFIN:ZDB-GENE-041111-110	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-190110-6	PANTHER:PTHR11675	protein_coding_gene		PMID:28871129|ZFIN:ZDB-PUB-170906-6	20190110	galnt2
ZFIN:ZDB-GENE-980526-352	wingless-type MMTV integration site family, member 4		GO:0070654		ZFIN	NCBITaxon:7955	IEP		PANTHER:PTHR12027	protein_coding_gene		PMID:21911394|ZFIN:ZDB-PUB-110920-18	20111114	wnt4
ZFIN:ZDB-GENE-040426-2252	tumor necrosis factor receptor superfamily, member 1a		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-161223-1	PANTHER:PTHR46861	protein_coding_gene		PMID:28796253|ZFIN:ZDB-PUB-170811-2	20180126	tnfrsf1a
ZFIN:ZDB-GENE-031118-121	erb-b2 receptor tyrosine kinase 2		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-100802-3	PANTHER:PTHR24416	protein_coding_gene		PMID:19133254|ZFIN:ZDB-PUB-100706-1	20100803	erbb2
ZFIN:ZDB-GENE-050306-15	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2a		GO:0070654		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-090618-1	PANTHER:PTHR13857	protein_coding_gene		PMID:22262907|ZFIN:ZDB-PUB-120125-32	20120307	apobec2a
ZFIN:ZDB-GENE-030131-5274	annexin A1c		GO:0014839		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN002574794|MGI:MGI:96819	PANTHER:PTHR10502	protein_coding_gene		PMID:21873635	20180521	anxa1c
ZFIN:ZDB-GENE-000403-1	axin 1		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-070403-1	PANTHER:PTHR46102	protein_coding_gene		PMID:17185322|ZFIN:ZDB-PUB-061229-24	20070403	axin1
ZFIN:ZDB-GENE-030318-1	chemokine (C-X-C motif) ligand 12a (stromal cell-derived factor 1)		GO:0031101		ZFIN	NCBITaxon:7955	IMP		PANTHER:PTHR18837	protein_coding_gene		PMID:19503807|ZFIN:ZDB-PUB-090616-38	20100630	cxcl12a
ZFIN:ZDB-GENE-030318-1	chemokine (C-X-C motif) ligand 12a (stromal cell-derived factor 1)		GO:0031101		ZFIN	NCBITaxon:7955	IDA		PANTHER:PTHR18837	protein_coding_gene		PMID:16586100|ZFIN:ZDB-PUB-060412-11	20061207	cxcl12a
ZFIN:ZDB-GENE-030131-2935	insulin-like growth factor 2b		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-100601-1	PANTHER:PTHR46886	protein_coding_gene		PMID:20179093|ZFIN:ZDB-PUB-100322-19	20110610	igf2b
ZFIN:ZDB-GENE-990714-26	lymphoid enhancer-binding factor 1		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-060214-5	PANTHER:PTHR10373	protein_coding_gene		PMID:19015519|ZFIN:ZDB-PUB-081121-22	20091102	lef1
ZFIN:ZDB-MIRNAG-041217-7	microRNA 183		GO:0070659		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-100419-3		miRNA		PMID:29214789|ZFIN:ZDB-PUB-171208-3	20180524	mir183
ZFIN:ZDB-GENE-050522-159	peroxiredoxin 5		GO:0031101		ZFIN	NCBITaxon:7955	IEP		PANTHER:PTHR10430	protein_coding_gene		PMID:22278371|ZFIN:ZDB-PUB-120127-8	20120725	prdx5
ZFIN:ZDB-GENE-050706-89	FYN proto-oncogene, Src family tyrosine kinase b		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-121129-6	PANTHER:PTHR24418	protein_coding_gene		PMID:23045550|ZFIN:ZDB-PUB-121016-21	20140410	fynb
ZFIN:ZDB-GENE-060110-1	fibroblast growth factor 20a		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-161006-24	PANTHER:PTHR11486	protein_coding_gene		PMID:27049946|ZFIN:ZDB-PUB-160407-4	20161006	fgf20a
ZFIN:ZDB-GENE-060110-1	fibroblast growth factor 20a		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-071129-4	PANTHER:PTHR11486	protein_coding_gene		PMID:26305099|ZFIN:ZDB-PUB-150826-2	20160129	fgf20a
ZFIN:ZDB-GENE-060110-1	fibroblast growth factor 20a		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-060110-1	PANTHER:PTHR11486	protein_coding_gene		PMID:18701543|ZFIN:ZDB-PUB-080826-13	20090109	fgf20a
ZFIN:ZDB-GENE-060110-1	fibroblast growth factor 20a		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-060110-1	PANTHER:PTHR11486	protein_coding_gene		PMID:16373575|ZFIN:ZDB-PUB-060105-8	20060113	fgf20a
ZFIN:ZDB-GENE-030123-1	ttk protein kinase		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-020912-1	PANTHER:PTHR22974	protein_coding_gene		PMID:12399306|ZFIN:ZDB-PUB-030102-3	20060207	ttk
ZFIN:ZDB-GENE-030123-1	ttk protein kinase		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-020912-1	PANTHER:PTHR22974	protein_coding_gene		PMID:18701543|ZFIN:ZDB-PUB-080826-13	20090109	ttk
ZFIN:ZDB-GENE-050317-1	tumor necrosis factor a (TNF superfamily, member 2)		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-171010-5	PANTHER:PTHR11471	protein_coding_gene		PMID:28796253|ZFIN:ZDB-PUB-170811-2	20180126	tnfa
ZFIN:ZDB-GENE-990415-93	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1b		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-160303-1	PANTHER:PTHR11461	protein_coding_gene		PMID:26103547|ZFIN:ZDB-PUB-150624-1	20160519	serpinh1b
ZFIN:ZDB-GENE-990415-92	heat shock protein 8		GO:0031101		ZFIN	NCBITaxon:7955	IEP		PANTHER:PTHR19375	protein_coding_gene		PMID:22278371|ZFIN:ZDB-PUB-120127-8	20120725	hspa8
ZFIN:ZDB-GENE-990415-87	growth associated protein 43		GO:0042246		ZFIN	NCBITaxon:7955	IEP		PANTHER:PTHR10699	protein_coding_gene		PMID:16205622|ZFIN:ZDB-PUB-051012-4	20051202	gap43
ZFIN:ZDB-GENE-990415-87	growth associated protein 43		GO:0042246		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN002581734|ZFIN:ZDB-GENE-990415-87|RGD:62071	PANTHER:PTHR10699	protein_coding_gene		PMID:21873635	20180916	gap43
ZFIN:ZDB-GENE-990415-82	GATA binding protein 3		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-130208-1	PANTHER:PTHR10071	protein_coding_gene		PMID:23168169|ZFIN:ZDB-PUB-121205-38	20140822	gata3
ZFIN:ZDB-GENE-990415-82	GATA binding protein 3		GO:0061026		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-130208-1	PANTHER:PTHR10071	protein_coding_gene		PMID:23168169|ZFIN:ZDB-PUB-121205-38	20140822	gata3
ZFIN:ZDB-GENE-990415-82	GATA binding protein 3		GO:0042246		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-130208-1	PANTHER:PTHR10071	protein_coding_gene		PMID:23168169|ZFIN:ZDB-PUB-121205-38	20140822	gata3
ZFIN:ZDB-GENE-100422-19	ninjurin 2		GO:0042246		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR007007	PANTHER:PTHR12316	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201013	ninj2
ZFIN:ZDB-GENE-100422-16	aggrecan b		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-160413-13	PANTHER:PTHR22804	protein_coding_gene		PMID:26828861|ZFIN:ZDB-PUB-160202-7	20160907	acanb
ZFIN:ZDB-GENE-100422-16	aggrecan b		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-160413-14	PANTHER:PTHR22804	protein_coding_gene		PMID:26828861|ZFIN:ZDB-PUB-160202-7	20160907	acanb
ZFIN:ZDB-GENE-000822-5	homeobox C13b		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-041208-2	PANTHER:PTHR45804	protein_coding_gene		PMID:17437127|ZFIN:ZDB-PUB-070427-19	20070731	hoxc13b
ZFIN:ZDB-GENE-000822-5	homeobox C13b		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-041208-1	PANTHER:PTHR45804	protein_coding_gene		PMID:17437127|ZFIN:ZDB-PUB-070427-19	20070731	hoxc13b
ZFIN:ZDB-GENE-000822-4	homeobox C13a		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-070730-3	PANTHER:PTHR45804	protein_coding_gene		PMID:17437127|ZFIN:ZDB-PUB-070427-19	20070731	hoxc13a
ZFIN:ZDB-GENE-000822-4	homeobox C13a		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-041208-3	PANTHER:PTHR45804	protein_coding_gene		PMID:17437127|ZFIN:ZDB-PUB-070427-19	20070731	hoxc13a
ZFIN:ZDB-GENE-040426-1810	insulinoma-associated 1a		GO:0070654		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-GENE-080204-119	PANTHER:PTHR15065	protein_coding_gene		PMID:23000964|ZFIN:ZDB-PUB-121004-18	20131122	insm1a
ZFIN:ZDB-GENE-040426-1810	insulinoma-associated 1a		GO:0070654		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-GENE-980526-90|ZFIN:ZDB-GENE-990708-5	PANTHER:PTHR15065	protein_coding_gene		PMID:23000964|ZFIN:ZDB-PUB-121004-18	20131122	insm1a
ZFIN:ZDB-GENE-040801-149	ATG5 autophagy related 5 homolog (S. cerevisiae)		GO:0043416		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-121010-2	PANTHER:PTHR13040	protein_coding_gene		PMID:27467399|ZFIN:ZDB-PUB-160729-3	20170515	atg5
ZFIN:ZDB-GENE-990415-279	wingless-type MMTV integration site family, member 8b		GO:0070654		ZFIN	NCBITaxon:7955	IEP		PANTHER:PTHR12027	protein_coding_gene		PMID:21911394|ZFIN:ZDB-PUB-110920-18	20111114	wnt8b
ZFIN:ZDB-GENE-990415-224	frizzled class receptor 2		GO:0070654		ZFIN	NCBITaxon:7955	IEP		PANTHER:PTHR11309	protein_coding_gene		PMID:21911394|ZFIN:ZDB-PUB-110920-18	20111114	fzd2
ZFIN:ZDB-GENE-990415-207	peripherin		GO:0042246		ZFIN	NCBITaxon:7955	IEP		PANTHER:PTHR45652	protein_coding_gene		PMID:16205622|ZFIN:ZDB-PUB-051012-4	20051202	prph
ZFIN:ZDB-GENE-030613-1	dual specificity phosphatase 6		GO:1905179		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-181206-10	PANTHER:PTHR10159	protein_coding_gene		PMID:29444893|ZFIN:ZDB-PUB-180223-14	20190701	dusp6
ZFIN:ZDB-GENE-060616-238	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase		GO:0070658		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-170118-2	PANTHER:PTHR15075	protein_coding_gene		PMID:27795824|ZFIN:ZDB-PUB-161101-12	20170120	mgat5
ZFIN:ZDB-GENE-060616-238	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase		GO:0042246		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-170118-2	PANTHER:PTHR15075	protein_coding_gene		PMID:27795824|ZFIN:ZDB-PUB-161101-12	20170120	mgat5
