ZFIN:ZDB-GENE-030131-1033	agrin		GO:1902572		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN002588955|MGI:MGI:3648654|MGI:MGI:1919682	PANTHER:PTHR10913	protein_coding_gene		PMID:21873635	20190524	agrn
ZFIN:ZDB-GENE-010814-1	coagulation factor VII		GO:0004252		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR001314	PANTHER:PTHR24278	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	f7
ZFIN:ZDB-GENE-010814-1	coagulation factor VII		GO:0004252		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR033190	PANTHER:PTHR24278	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	f7
ZFIN:ZDB-GENE-010814-1	coagulation factor VII		GO:0004252		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR018114	PANTHER:PTHR24278	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	f7
ZFIN:ZDB-GENE-010814-1	coagulation factor VII		GO:0006508		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR001314	PANTHER:PTHR24278	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	f7
ZFIN:ZDB-GENE-010814-1	coagulation factor VII		GO:0004252		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR001254	PANTHER:PTHR24278	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	f7
ZFIN:ZDB-GENE-131118-9	si:dkey-105h12.2		GO:0010466		ZFIN	NCBITaxon:7955	IEA	UniProtKB-KW:KW-0646	PANTHER:PTHR11412	protein_coding_gene		ZFIN:ZDB-PUB-020723-1	20201211	si:dkey-105h12.2
UniProtKB:A0A2R8RR75	Uncharacterized protein		GO:0031146		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000076076|UniProtKB:Q5XUX0	PANTHER:PTHR10706	protein		PMID:21873635	20170228	fbxo31
ZFIN:ZDB-GENE-030131-6598	membrane-bound transcription factor peptidase, site 2		GO:0006508		ZFIN	NCBITaxon:7955	IEA	UniProtKB-KW:KW-0645	PANTHER:PTHR13325	protein_coding_gene		ZFIN:ZDB-PUB-020723-1	20201211	mbtps2
ZFIN:ZDB-GENE-030131-6598	membrane-bound transcription factor peptidase, site 2		GO:0008233		ZFIN	NCBITaxon:7955	IEA	UniProtKB-KW:KW-0645	PANTHER:PTHR13325	protein_coding_gene		ZFIN:ZDB-PUB-020723-1	20201211	mbtps2
ZFIN:ZDB-GENE-030131-6598	membrane-bound transcription factor peptidase, site 2		GO:0004222		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR001193	PANTHER:PTHR13325	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	mbtps2
ZFIN:ZDB-GENE-030131-6598	membrane-bound transcription factor peptidase, site 2		GO:0006508		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR001193	PANTHER:PTHR13325	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	mbtps2
ZFIN:ZDB-GENE-030131-6598	membrane-bound transcription factor peptidase, site 2		GO:0006508		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR008915	PANTHER:PTHR13325	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	mbtps2
ZFIN:ZDB-GENE-030131-6598	membrane-bound transcription factor peptidase, site 2		GO:0004222		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR008915	PANTHER:PTHR13325	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	mbtps2
ZFIN:ZDB-GENE-030131-6598	membrane-bound transcription factor peptidase, site 2		GO:0031293		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN004417004|UniProtKB:O43462	PANTHER:PTHR13325	protein_coding_gene		PMID:21873635	20200807	mbtps2
ZFIN:ZDB-GENE-030131-6598	membrane-bound transcription factor peptidase, site 2		GO:0004222		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN004417004|TAIR:locus:2120352|UniProtKB:O43462	PANTHER:PTHR13325	protein_coding_gene		PMID:21873635	20200807	mbtps2
ZFIN:ZDB-GENE-040930-7	ubiquitin specific peptidase like 1		GO:0008233		ZFIN	NCBITaxon:7955	IEA	UniProtKB-KW:KW-0645	PANTHER:PTHR15294	protein_coding_gene		ZFIN:ZDB-PUB-020723-1	20201211	uspl1
ZFIN:ZDB-GENE-040930-7	ubiquitin specific peptidase like 1		GO:0070140		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR033505	PANTHER:PTHR15294	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	uspl1
ZFIN:ZDB-GENE-040930-7	ubiquitin specific peptidase like 1		GO:0008234		ZFIN	NCBITaxon:7955	IEA	UniProtKB-KW:KW-0788	PANTHER:PTHR15294	protein_coding_gene		ZFIN:ZDB-PUB-020723-1	20201211	uspl1
ZFIN:ZDB-GENE-040930-7	ubiquitin specific peptidase like 1		GO:0006508		ZFIN	NCBITaxon:7955	IEA	UniProtKB-KW:KW-0645	PANTHER:PTHR15294	protein_coding_gene		ZFIN:ZDB-PUB-020723-1	20201211	uspl1
ZFIN:ZDB-GENE-040930-7	ubiquitin specific peptidase like 1		GO:0070140		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR028890	PANTHER:PTHR15294	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	uspl1
ZFIN:ZDB-GENE-040930-7	ubiquitin specific peptidase like 1		GO:0070140		UniProt	NCBITaxon:7955	IDA		PANTHER:PTHR15294	protein_coding_gene		PMID:22878415|ZFIN:ZDB-PUB-120813-10	20120821	uspl1
ZFIN:ZDB-GENE-040930-7	ubiquitin specific peptidase like 1		GO:0016926		UniProt	NCBITaxon:7955	IDA		PANTHER:PTHR15294	protein_coding_gene		PMID:22878415|ZFIN:ZDB-PUB-120813-10	20120821	uspl1
ZFIN:ZDB-GENE-040930-7	ubiquitin specific peptidase like 1		GO:0016926		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN001033803|ZFIN:ZDB-GENE-040930-7|UniProtKB:Q5W0Q7	PANTHER:PTHR15294	protein_coding_gene		PMID:21873635	20200318	uspl1
ZFIN:ZDB-GENE-040930-7	ubiquitin specific peptidase like 1		GO:0070140		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN001033803|ZFIN:ZDB-GENE-040930-7|UniProtKB:Q5W0Q7	PANTHER:PTHR15294	protein_coding_gene		PMID:21873635	20200318	uspl1
ZFIN:ZDB-GENE-991110-19	proteasome activator subunit 3		GO:0010950		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000069920|UniProtKB:Q2KJE7	PANTHER:PTHR10660	protein_coding_gene		PMID:21873635	20210127	psme3
ZFIN:ZDB-GENE-991110-19	proteasome activator subunit 3		GO:0061136		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000069920|UniProtKB:P61289|FB:FBgn0029133	PANTHER:PTHR10660	protein_coding_gene		PMID:21873635	20170228	psme3
ZFIN:ZDB-GENE-991110-17	proteasome activator subunit 1		GO:0061136		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000069920|UniProtKB:P61289|FB:FBgn0029133	PANTHER:PTHR10660	protein_coding_gene		PMID:21873635	20170228	psme1
ZFIN:ZDB-GENE-991110-17	proteasome activator subunit 1		GO:0010950		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000069920|UniProtKB:Q2KJE7	PANTHER:PTHR10660	protein_coding_gene		PMID:21873635	20210127	psme1
ZFIN:ZDB-GENE-991110-16	proteasome activator subunit 2		GO:0010950		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000069920|UniProtKB:Q2KJE7	PANTHER:PTHR10660	protein_coding_gene		PMID:21873635	20210127	psme2
ZFIN:ZDB-GENE-991110-16	proteasome activator subunit 2		GO:0061136		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000069920|UniProtKB:P61289|FB:FBgn0029133	PANTHER:PTHR10660	protein_coding_gene		PMID:21873635	20170228	psme2
ZFIN:ZDB-GENE-030826-8	caspase 8 associated protein 2		GO:0006919		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000398070|MGI:MGI:1349399|UniProtKB:Q9UKL3	PANTHER:PTHR15489	protein_coding_gene		PMID:21873635	20200930	casp8ap2
ZFIN:ZDB-GENE-030826-3	CASP8 and FADD-like apoptosis regulator a		GO:0004197		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR002398	PANTHER:PTHR10454	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	cflara
ZFIN:ZDB-GENE-030826-3	CASP8 and FADD-like apoptosis regulator a		GO:0004197		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR001309	PANTHER:PTHR10454	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	cflara
ZFIN:ZDB-GENE-030826-3	CASP8 and FADD-like apoptosis regulator a		GO:0008234		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR015917	PANTHER:PTHR10454	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	cflara
ZFIN:ZDB-GENE-030826-3	CASP8 and FADD-like apoptosis regulator a		GO:0006508		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR002398	PANTHER:PTHR10454	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	cflara
ZFIN:ZDB-GENE-030826-3	CASP8 and FADD-like apoptosis regulator a		GO:0006508		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR001309	PANTHER:PTHR10454	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	cflara
ZFIN:ZDB-GENE-030826-3	CASP8 and FADD-like apoptosis regulator a		GO:0006919		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000047948|MGI:MGI:1261423|MGI:MGI:1277950|FB:FBgn0026404|WB:WBGene00000417	PANTHER:PTHR10454	protein_coding_gene		PMID:21873635	20200929	cflara
ZFIN:ZDB-GENE-030826-3	CASP8 and FADD-like apoptosis regulator a		GO:0097199		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000047948|UniProtKB:P55211|FB:FBgn0026404|UniProtKB:Q92851|UniProtKB:Q14790	PANTHER:PTHR10454	protein_coding_gene		PMID:21873635	20200807	cflara
ZFIN:ZDB-GENE-030826-3	CASP8 and FADD-like apoptosis regulator a		GO:0097153		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000047947|MGI:MGI:1261423|FB:FBgn0010501|UniProtKB:P42574|UniProtKB:Q92851|MGI:MGI:109383|UniProtKB:Q14790|MGI:MGI:97295|UniProtKB:P55210|UniProtKB:P55212|UniProtKB:P55211|FB:FBgn0026404|MGI:MGI:107739|WB:WBGene00000417|FB:FBgn0019972	PANTHER:PTHR10454	protein_coding_gene		PMID:21873635	20170228	cflara
ZFIN:ZDB-GENE-030826-3	CASP8 and FADD-like apoptosis regulator a		GO:0097200		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000047948|WB:WBGene00000417	PANTHER:PTHR10454	protein_coding_gene		PMID:21873635	20170228	cflara
ZFIN:ZDB-GENE-030131-6547	proteasome 26S subunit, ATPase 5		GO:0043161		UniProt	NCBITaxon:7955	ISS	UniProtKB:P62195	PANTHER:PTHR23073	protein_coding_gene		ZFIN:ZDB-PUB-110105-1	20060228	psmc5
ZFIN:ZDB-GENE-021211-3	hatching enzyme 1, tandem duplicate 1		GO:0006508		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR001506	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	he1.1
ZFIN:ZDB-GENE-021211-3	hatching enzyme 1, tandem duplicate 1		GO:0008237		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR024079	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	he1.1
ZFIN:ZDB-GENE-021211-3	hatching enzyme 1, tandem duplicate 1		GO:0008237		ZFIN	NCBITaxon:7955	IEA	UniProtKB-KW:KW-0482	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020723-1	20201211	he1.1
ZFIN:ZDB-GENE-021211-3	hatching enzyme 1, tandem duplicate 1		GO:0008233		ZFIN	NCBITaxon:7955	IEA	UniProtKB-KW:KW-0645	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020723-1	20201211	he1.1
ZFIN:ZDB-GENE-021211-3	hatching enzyme 1, tandem duplicate 1		GO:0008237		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR006026	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	he1.1
ZFIN:ZDB-GENE-021211-3	hatching enzyme 1, tandem duplicate 1		GO:0006508		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR006026	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	he1.1
ZFIN:ZDB-GENE-021211-3	hatching enzyme 1, tandem duplicate 1		GO:0004222		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR001506	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	he1.1
ZFIN:ZDB-GENE-021211-3	hatching enzyme 1, tandem duplicate 1		GO:0006508		ZFIN	NCBITaxon:7955	IEA	UniProtKB-KW:KW-0645	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020723-1	20201211	he1.1
ZFIN:ZDB-GENE-021211-3	hatching enzyme 1, tandem duplicate 1		GO:0004222		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000013301|WB:WBGene00003553|RGD:3081	PANTHER:PTHR10127	protein_coding_gene		PMID:21873635	20180613	he1.1
ZFIN:ZDB-GENE-030131-9870	acylaminoacyl-peptide hydrolase		GO:0008236		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR001375	PANTHER:PTHR42776	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	apeh
ZFIN:ZDB-GENE-030131-9870	acylaminoacyl-peptide hydrolase		GO:0004252		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR002471	PANTHER:PTHR42776	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	apeh
ZFIN:ZDB-GENE-030131-9870	acylaminoacyl-peptide hydrolase		GO:0004252		ZFIN	NCBITaxon:7955	IEA	EC:3.4.19.1	PANTHER:PTHR42776	protein_coding_gene		ZFIN:ZDB-PUB-031118-3	20201211	apeh
ZFIN:ZDB-GENE-030131-9870	acylaminoacyl-peptide hydrolase		GO:0006508		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR001375	PANTHER:PTHR42776	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	apeh
ZFIN:ZDB-GENE-030131-9870	acylaminoacyl-peptide hydrolase		GO:0006508		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR002471	PANTHER:PTHR42776	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	apeh
ZFIN:ZDB-GENE-030131-9870	acylaminoacyl-peptide hydrolase		GO:0004252		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000198548|UniProtKB:P13798	PANTHER:PTHR42776	protein_coding_gene		PMID:21873635	20190227	apeh
ZFIN:ZDB-GENE-040518-1	hatching enzyme 1, tandem duplicate 3		GO:0006508		ZFIN	NCBITaxon:7955	IEA	UniProtKB-KW:KW-0645	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020723-1	20201211	he1.3
ZFIN:ZDB-GENE-040518-1	hatching enzyme 1, tandem duplicate 3		GO:0008237		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR006026	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	he1.3
ZFIN:ZDB-GENE-040518-1	hatching enzyme 1, tandem duplicate 3		GO:0008237		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR024079	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	he1.3
ZFIN:ZDB-GENE-040518-1	hatching enzyme 1, tandem duplicate 3		GO:0004222		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR001506	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	he1.3
ZFIN:ZDB-GENE-040518-1	hatching enzyme 1, tandem duplicate 3		GO:0006508		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR006026	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	he1.3
ZFIN:ZDB-GENE-040518-1	hatching enzyme 1, tandem duplicate 3		GO:0008233		ZFIN	NCBITaxon:7955	IEA	UniProtKB-KW:KW-0645	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020723-1	20201211	he1.3
ZFIN:ZDB-GENE-040518-1	hatching enzyme 1, tandem duplicate 3		GO:0008237		ZFIN	NCBITaxon:7955	IEA	UniProtKB-KW:KW-0482	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020723-1	20201211	he1.3
ZFIN:ZDB-GENE-040518-1	hatching enzyme 1, tandem duplicate 3		GO:0006508		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR001506	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	he1.3
ZFIN:ZDB-GENE-040518-1	hatching enzyme 1, tandem duplicate 3		GO:0004222		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000013301|WB:WBGene00003553|RGD:3081	PANTHER:PTHR10127	protein_coding_gene		PMID:21873635	20180613	he1.3
UniProtKB:A0A2R8QCL5	Uncharacterized protein		GO:0043161		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000383992|UniProtKB:Q8N5Z5	PANTHER:PTHR14958	protein		PMID:21873635	20180817	kctd17
UniProtKB:A0A0G2KLP2	Uncharacterized protein		GO:1990116		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000391357|SGD:S000005930	PANTHER:PTHR15239	protein		PMID:21873635	20190723	LOC108182745
ZFIN:ZDB-GENE-040426-1038	proteasome 26S subunit, non-ATPase 6		GO:0043161		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-101015-3	PANTHER:PTHR14145	protein_coding_gene		PMID:20724448|ZFIN:ZDB-PUB-100826-2	20101020	psmd6
ZFIN:ZDB-GENE-040426-1038	proteasome 26S subunit, non-ATPase 6		GO:0043161		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000365348|FB:FBgn0028688|ZFIN:ZDB-GENE-040426-1038	PANTHER:PTHR14145	protein_coding_gene		PMID:21873635	20170228	psmd6
ZFIN:ZDB-GENE-070912-174	si:ch211-195h23.3		GO:0006508		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR002398	PANTHER:PTHR10454	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	si:ch211-195h23.3
ZFIN:ZDB-GENE-070912-174	si:ch211-195h23.3		GO:0004197		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR002398	PANTHER:PTHR10454	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	si:ch211-195h23.3
ZFIN:ZDB-GENE-070912-174	si:ch211-195h23.3		GO:0006919		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000047948|MGI:MGI:1261423|MGI:MGI:1277950|FB:FBgn0026404|WB:WBGene00000417	PANTHER:PTHR10454	protein_coding_gene		PMID:21873635	20200929	si:ch211-195h23.3
ZFIN:ZDB-GENE-070912-174	si:ch211-195h23.3		GO:0097153		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000047947|MGI:MGI:1261423|FB:FBgn0010501|UniProtKB:P42574|UniProtKB:Q92851|MGI:MGI:109383|UniProtKB:Q14790|MGI:MGI:97295|UniProtKB:P55210|UniProtKB:P55212|UniProtKB:P55211|FB:FBgn0026404|MGI:MGI:107739|WB:WBGene00000417|FB:FBgn0019972	PANTHER:PTHR10454	protein_coding_gene		PMID:21873635	20170228	si:ch211-195h23.3
ZFIN:ZDB-GENE-070912-174	si:ch211-195h23.3		GO:0097200		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000047948|WB:WBGene00000417	PANTHER:PTHR10454	protein_coding_gene		PMID:21873635	20170228	si:ch211-195h23.3
ZFIN:ZDB-GENE-070912-174	si:ch211-195h23.3		GO:0097199		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000047948|UniProtKB:P55211|FB:FBgn0026404|UniProtKB:Q92851|UniProtKB:Q14790	PANTHER:PTHR10454	protein_coding_gene		PMID:21873635	20200807	si:ch211-195h23.3
ZFIN:ZDB-GENE-040426-1025	N-acetylated alpha-linked acidic dipeptidase 2		GO:0004180		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000044792|MGI:MGI:1858193|UniProtKB:Q04609|MGI:MGI:1919810|UniProtKB:Q9HBA9	PANTHER:PTHR10404	protein_coding_gene		PMID:21873635	20190506	naalad2
ZFIN:ZDB-GENE-070912-147	high choriolytic enzyme 2-like 1		GO:0008233		ZFIN	NCBITaxon:7955	IEA	UniProtKB-KW:KW-0645	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020723-1	20201211	hce2l1
ZFIN:ZDB-GENE-070912-147	high choriolytic enzyme 2-like 1		GO:0008237		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR024079	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	hce2l1
ZFIN:ZDB-GENE-070912-147	high choriolytic enzyme 2-like 1		GO:0004222		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR001506	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	hce2l1
ZFIN:ZDB-GENE-070912-147	high choriolytic enzyme 2-like 1		GO:0006508		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR006026	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	hce2l1
ZFIN:ZDB-GENE-070912-147	high choriolytic enzyme 2-like 1		GO:0006508		ZFIN	NCBITaxon:7955	IEA	UniProtKB-KW:KW-0645	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020723-1	20201211	hce2l1
ZFIN:ZDB-GENE-070912-147	high choriolytic enzyme 2-like 1		GO:0008237		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR006026	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	hce2l1
ZFIN:ZDB-GENE-070912-147	high choriolytic enzyme 2-like 1		GO:0006508		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR001506	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	hce2l1
ZFIN:ZDB-GENE-070912-147	high choriolytic enzyme 2-like 1		GO:0008237		ZFIN	NCBITaxon:7955	IEA	UniProtKB-KW:KW-0482	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020723-1	20201211	hce2l1
ZFIN:ZDB-GENE-070912-147	high choriolytic enzyme 2-like 1		GO:0004222		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000013301|WB:WBGene00003553|RGD:3081	PANTHER:PTHR10127	protein_coding_gene		PMID:21873635	20180613	hce2l1
ZFIN:ZDB-GENE-070912-146	high choriolytic enzyme 2-like 2		GO:0006508		ZFIN	NCBITaxon:7955	IEA	UniProtKB-KW:KW-0645	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020723-1	20201211	hce2l2
ZFIN:ZDB-GENE-070912-146	high choriolytic enzyme 2-like 2		GO:0008237		ZFIN	NCBITaxon:7955	IEA	UniProtKB-KW:KW-0482	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020723-1	20201211	hce2l2
ZFIN:ZDB-GENE-070912-146	high choriolytic enzyme 2-like 2		GO:0004222		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR001506	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	hce2l2
ZFIN:ZDB-GENE-070912-146	high choriolytic enzyme 2-like 2		GO:0008237		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR006026	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	hce2l2
ZFIN:ZDB-GENE-070912-146	high choriolytic enzyme 2-like 2		GO:0008233		ZFIN	NCBITaxon:7955	IEA	UniProtKB-KW:KW-0645	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020723-1	20201211	hce2l2
ZFIN:ZDB-GENE-070912-146	high choriolytic enzyme 2-like 2		GO:0006508		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR001506	PANTHER:PTHR10127	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	hce2l2
