Gene stable ID,Gene name,Human gene stable ID,Human gene name
ENSDARG00000106415,CABZ01051641.3,,
ENSDARG00000108007,CABZ01002339.2,,
ENSDARG00000106779,CABZ01002339.1,,
ENSDARG00000108894,BX927130.5,,
ENSDARG00000108864,BX677667.6,,
ENSDARG00000108611,BX677667.5,,
ENSDARG00000109064,CABZ01040078.2,,
ENSDARG00000107526,CR293509.5,,
ENSDARG00000108170,CU468915.2,,
ENSDARG00000108491,CABZ01057955.1,,
ENSDARG00000107801,CABZ01057940.1,,
ENSDARG00000108366,CABZ01044770.1,,
ENSDARG00000107240,CABZ01063356.1,,
ENSDARG00000108862,CR388207.2,,
ENSDARG00000108405,BX248126.2,,
ENSDARG00000108581,CU929294.2,,
ENSDARG00000107723,AL772391.1,,
ENSDARG00000108925,CR385050.5,,
ENSDARG00000106070,FO681306.2,,
ENSDARG00000105955,CU463284.2,,
ENSDARG00000106196,BX640462.2,,
ENSDARG00000108599,BX294385.1,,
ENSDARG00000108815,CR376839.1,,
ENSDARG00000108266,CU571316.1,,
ENSDARG00000107259,CABZ01068367.1,,
ENSDARG00000106669,CABZ01068358.1,,
ENSDARG00000109037,dock1,,
ENSDARG00000108033,CR735107.4,,
ENSDARG00000107204,CABZ01063790.1,,
ENSDARG00000107039,CABZ01067314.1,,
ENSDARG00000106906,CABZ01087434.1,,
ENSDARG00000107603,CABZ01067313.1,,
ENSDARG00000105998,CABZ01084137.2,,
ENSDARG00000106181,CABZ01084135.1,,
ENSDARG00000106473,CABZ01076964.1,,
ENSDARG00000107422,CABZ01092950.1,,
ENSDARG00000106502,CR376783.2,,
ENSDARG00000109009,BX914200.3,,
ENSDARG00000106581,BX950224.2,,
ENSDARG00000108780,CU694373.1,,
ENSDARG00000106239,AL928657.2,,
ENSDARG00000108818,BX640547.6,,
ENSDARG00000108557,AL954307.1,,
ENSDARG00000105857,AL928714.1,,
ENSDARG00000106918,BX321870.3,,
ENSDARG00000107470,BX640584.6,,
ENSDARG00000108528,FQ311908.2,,
ENSDARG00000108413,CABZ01068685.1,,
ENSDARG00000106587,CABZ01076223.1,,
ENSDARG00000108313,CABZ01076224.1,,
ENSDARG00000108971,CABZ01111478.1,,
ENSDARG00000107094,FO904843.1,,
ENSDARG00000108853,FO904843.3,,
ENSDARG00000106929,CT573061.1,,
ENSDARG00000107492,CR853298.1,,
ENSDARG00000107868,CR854906.1,,
ENSDARG00000106794,AL935201.1,,
ENSDARG00000107346,CABZ01074517.1,,
ENSDARG00000106832,CABZ01074519.1,,
ENSDARG00000107845,FP326669.1,,
ENSDARG00000107027,FP102809.1,,
ENSDARG00000107933,CU929061.1,,
ENSDARG00000108081,CU929676.1,,
ENSDARG00000107271,CU694380.2,,
ENSDARG00000106827,CR628371.1,,
ENSDARG00000107533,BX248092.1,,
ENSDARG00000108204,CR388413.6,,
ENSDARG00000106765,FO704769.1,,
ENSDARG00000108540,CABZ01029557.2,,
ENSDARG00000106394,CABZ01063094.1,,
ENSDARG00000107193,BX649531.1,,
ENSDARG00000106614,FP102945.1,,
ENSDARG00000106537,BX936350.2,,
ENSDARG00000106137,BX936412.2,,
ENSDARG00000106570,BX511078.5,,
ENSDARG00000107278,CABZ01083707.1,,
ENSDARG00000106558,CABZ01050509.1,,
ENSDARG00000107515,FP102951.1,,
ENSDARG00000106913,CR786571.5,,
ENSDARG00000107162,AL953904.1,,
ENSDARG00000108369,BX544877.5,,
ENSDARG00000107233,BX544877.3,,
ENSDARG00000107089,BX544877.2,,
ENSDARG00000107872,BX544877.4,,
ENSDARG00000106066,BX950210.1,,
ENSDARG00000107298,FP101909.1,,
ENSDARG00000106528,BX927329.2,,
ENSDARG00000108817,BX004970.4,,
ENSDARG00000106636,BX004970.1,,
ENSDARG00000106429,CABZ01085928.1,,
ENSDARG00000109049,CABZ01046433.1,,
ENSDARG00000106892,CABZ01084702.1,,
ENSDARG00000107804,FP016248.1,,
ENSDARG00000106442,BX537139.2,,
ENSDARG00000106210,CT573169.1,,
ENSDARG00000107538,CABZ01089797.1,,
ENSDARG00000108423,CU571089.1,,
ENSDARG00000107103,CABZ01086141.1,,
ENSDARG00000107717,CR396595.1,,
ENSDARG00000106850,CR759863.4,,
ENSDARG00000106379,CABZ01072933.1,,
ENSDARG00000109192,CR558305.1,,
ENSDARG00000107811,CU463231.2,,
ENSDARG00000106957,CABZ01056594.1,,
ENSDARG00000108090,CR792454.2,,
ENSDARG00000108357,AL845421.1,,
ENSDARG00000107295,CR678040.1,,
ENSDARG00000108466,BX005210.4,,
ENSDARG00000107619,CU929171.2,,
ENSDARG00000108371,CR388132.5,,
ENSDARG00000108943,BX908385.1,,
ENSDARG00000108774,BX248120.1,,
ENSDARG00000107954,AL954676.3,,
ENSDARG00000107056,BX323084.1,,
ENSDARG00000105993,AL954676.2,,
ENSDARG00000106574,CR788249.4,,
ENSDARG00000108017,BX957347.1,,
ENSDARG00000106682,CR788249.5,,
ENSDARG00000107285,AL954739.1,,
ENSDARG00000106770,CABZ01089116.1,,
ENSDARG00000107787,CR847834.1,,
ENSDARG00000107081,BX548249.1,,
ENSDARG00000107879,BX547993.2,,
ENSDARG00000105919,BX571825.17,,
ENSDARG00000108836,AL824708.1,,
ENSDARG00000106950,BX255949.1,,
ENSDARG00000108207,BX649522.2,,
ENSDARG00000109147,AL824708.2,,
ENSDARG00000107501,FP085398.3,,
ENSDARG00000107655,FP085398.4,,
ENSDARG00000106322,CT573245.2,,
ENSDARG00000109206,AL954695.4,,
ENSDARG00000105877,BX890608.3,,
ENSDARG00000108523,CABZ01044733.1,,
ENSDARG00000106800,CR792416.3,,
ENSDARG00000107125,CR792416.4,,
ENSDARG00000107626,BX890608.5,,
ENSDARG00000107632,BX085193.4,,
ENSDARG00000108915,CR792416.5,,
ENSDARG00000108657,CABZ01090052.1,,
ENSDARG00000106156,CR792455.2,,
ENSDARG00000105845,CABZ01090047.1,,
ENSDARG00000108807,CABZ01090049.1,,
ENSDARG00000106598,BX510366.1,,
ENSDARG00000107305,CABZ01074562.1,,
ENSDARG00000106980,BX510945.1,,
ENSDARG00000106577,CR388191.1,,
ENSDARG00000109172,CABZ01034953.1,,
ENSDARG00000107741,BX255920.2,,
ENSDARG00000107554,BX000468.1,,
ENSDARG00000107395,CR391934.1,,
ENSDARG00000106557,CR855308.1,,
ENSDARG00000109208,CABZ01081740.1,,
ENSDARG00000106722,CABZ01073148.1,,
ENSDARG00000109165,CR759955.2,,
ENSDARG00000107419,CR382322.4,,
ENSDARG00000107067,CR382322.3,,
ENSDARG00000105949,CABZ01019330.1,,
ENSDARG00000107095,BX324212.2,,
ENSDARG00000106104,CR792418.4,,
ENSDARG00000106306,CR847974.2,,
ENSDARG00000106187,CR847974.1,,
ENSDARG00000107030,CU984602.1,,
ENSDARG00000109052,CABZ01088569.1,,
ENSDARG00000106938,CABZ01092746.1,,
ENSDARG00000108786,BX927135.2,,
ENSDARG00000108588,CABZ01078767.1,,
ENSDARG00000108080,CABZ01090417.1,,
ENSDARG00000107543,CABZ01094392.1,,
ENSDARG00000106672,CT027557.1,,
ENSDARG00000108646,CT027557.2,,
ENSDARG00000109184,CU570781.3,,
ENSDARG00000108456,CR925768.5,,
ENSDARG00000108498,BX005308.2,,
ENSDARG00000106910,CU972463.1,,
ENSDARG00000107153,CR759927.4,,
ENSDARG00000108094,CR759927.5,,
ENSDARG00000107659,CR847844.3,,
ENSDARG00000108390,CR855307.2,,
ENSDARG00000108888,BX284638.2,,
ENSDARG00000109171,CU683826.1,,
ENSDARG00000108409,CABZ01048956.2,,
ENSDARG00000106487,CABZ01048956.1,,
ENSDARG00000106155,CR847983.3,,
ENSDARG00000106854,BX649628.3,,
ENSDARG00000108460,BX548025.2,,
ENSDARG00000108882,CR533571.1,,
ENSDARG00000107686,BX548025.1,,
ENSDARG00000108582,BX511250.3,,
ENSDARG00000107574,CABZ01059914.2,,
ENSDARG00000108348,BX548167.1,,
ENSDARG00000108517,CU571175.1,,
ENSDARG00000108661,BX649454.1,,
ENSDARG00000105867,BX897726.2,,
ENSDARG00000107520,CR450803.1,,
ENSDARG00000106093,CABZ01100304.1,,
ENSDARG00000106753,BX901878.3,,
ENSDARG00000106780,CU855688.1,,
ENSDARG00000107124,BX511151.1,,
ENSDARG00000107170,CABZ01069162.2,,
ENSDARG00000109103,CR936479.1,,
ENSDARG00000107132,CABZ01081671.1,,
ENSDARG00000106408,CABZ01111605.1,,
ENSDARG00000106645,BX005331.2,,
ENSDARG00000106702,BX927297.1,,
ENSDARG00000109071,CR376838.2,,
ENSDARG00000107469,BX936447.1,,
ENSDARG00000108706,BX005364.2,,
ENSDARG00000108865,CU929427.1,,
ENSDARG00000109209,CABZ01043946.1,,
ENSDARG00000107381,CR524823.2,,
ENSDARG00000108621,CABZ01074277.1,,
ENSDARG00000106895,CABZ01043956.2,,
ENSDARG00000108748,AL953907.3,,
ENSDARG00000105903,CABZ01117832.1,,
ENSDARG00000107900,BX950855.3,,
ENSDARG00000108793,CABZ01015860.1,,
ENSDARG00000106681,BX511073.1,,
ENSDARG00000107823,CR931764.1,,
ENSDARG00000108521,AL954138.2,,
ENSDARG00000107746,CABZ01076216.1,,
ENSDARG00000106932,FO082298.1,,
ENSDARG00000106944,CR318653.2,,
ENSDARG00000108951,CABZ01117094.1,,
ENSDARG00000107147,CU682780.3,,
ENSDARG00000107605,CR392003.3,,
ENSDARG00000106688,BX927075.1,,
ENSDARG00000109077,CABZ01078607.1,,
ENSDARG00000108532,AL928845.2,,
ENSDARG00000108228,BX276097.1,,
ENSDARG00000107818,CABZ01089728.1,,
ENSDARG00000108808,CABZ01043845.1,,
ENSDARG00000108710,BX547939.1,,
ENSDARG00000107197,FQ323133.1,,
ENSDARG00000107173,CU469524.2,,
ENSDARG00000108883,CR589941.2,,
ENSDARG00000107167,CR762420.1,,
ENSDARG00000107524,BX649352.1,,
ENSDARG00000105868,CABZ01068322.2,,
ENSDARG00000106403,BX255915.3,,
ENSDARG00000107091,BX255915.4,,
ENSDARG00000108227,CABZ01092322.1,,
ENSDARG00000106805,CU896661.1,,
ENSDARG00000108376,CABZ01005674.1,,
ENSDARG00000106004,CR812896.1,,
ENSDARG00000108800,CU693485.1,,
ENSDARG00000108666,zgc:194629,,
ENSDARG00000108938,CU655827.1,,
ENSDARG00000108210,FP015919.1,,
ENSDARG00000106500,BX571884.1,,
ENSDARG00000108439,AL935322.3,,
ENSDARG00000107915,CABZ01099878.1,,
ENSDARG00000107673,BX890624.1,,
ENSDARG00000106677,CR854907.2,,
ENSDARG00000108355,CABZ01073345.1,,
ENSDARG00000106865,CU693373.1,,
ENSDARG00000107529,CABZ01113606.1,,
ENSDARG00000107677,CABZ01078564.1,,
ENSDARG00000107802,BX901893.1,,
ENSDARG00000106310,BX548173.5,,
ENSDARG00000107856,BX548173.6,,
ENSDARG00000106816,FP015860.1,,
ENSDARG00000109188,CABZ01028298.2,,
ENSDARG00000106086,CABZ01028298.1,,
ENSDARG00000107541,BX928744.1,,
ENSDARG00000106430,BX469915.1,,
ENSDARG00000108064,BX927136.2,,
ENSDARG00000107809,CR387989.2,,
ENSDARG00000107185,CT030017.3,,
ENSDARG00000106346,CT030017.1,,
ENSDARG00000106909,CT030017.2,,
ENSDARG00000107716,CABZ01089907.1,,
ENSDARG00000107691,CABZ01035191.3,,
ENSDARG00000106886,CABZ01079276.1,,
ENSDARG00000107071,CABZ01018409.2,,
ENSDARG00000107644,CABZ01109033.1,,
ENSDARG00000105964,BX470077.1,,
ENSDARG00000107604,CABZ01079537.1,,
ENSDARG00000107146,CU467943.2,,
ENSDARG00000107561,CABZ01092074.2,,
ENSDARG00000108899,CR354430.5,,
ENSDARG00000106727,BX545912.1,,
ENSDARG00000109018,FP102803.1,,
ENSDARG00000109199,CU019640.1,,
ENSDARG00000107669,CR352342.3,,
ENSDARG00000106620,CR352342.2,,
ENSDARG00000108448,CR352342.4,,
ENSDARG00000106261,CABZ01075125.3,,
ENSDARG00000107503,CABZ01075125.4,,
ENSDARG00000107260,CABZ01078412.1,,
ENSDARG00000106534,CABZ01075114.1,,
ENSDARG00000108410,BX323543.6,,
ENSDARG00000107404,CABZ01103896.1,,
ENSDARG00000106955,BX539321.2,,
ENSDARG00000106276,FP101883.1,,
ENSDARG00000106392,FO834903.1,,
ENSDARG00000108202,FP016258.1,,
ENSDARG00000107522,BX927372.1,,
ENSDARG00000107981,AL929298.2,,
ENSDARG00000107032,AL929141.1,,
ENSDARG00000106103,BX088726.1,,
ENSDARG00000108255,BX950184.2,,
ENSDARG00000106054,CR762431.2,,
ENSDARG00000108633,CABZ01084941.1,,
ENSDARG00000107935,BX572078.4,,
ENSDARG00000108867,CABZ01078161.1,,
ENSDARG00000106535,CABZ01111873.2,,
ENSDARG00000109016,CR556712.1,,
ENSDARG00000106084,BX649358.1,,
ENSDARG00000107710,CABZ01032979.1,,
ENSDARG00000108805,CABZ01049280.1,,
ENSDARG00000106496,BX649455.1,,
ENSDARG00000109096,CR936460.1,,
ENSDARG00000106190,BX294185.1,,
ENSDARG00000107343,FO744866.1,,
ENSDARG00000107824,CABZ01079837.2,,
ENSDARG00000108091,BX927341.10,,
ENSDARG00000108470,BX957234.8,,
ENSDARG00000107105,CU019674.1,,
ENSDARG00000107883,BX957234.6,,
ENSDARG00000108574,BX957234.9,,
ENSDARG00000106260,CT009705.2,,
ENSDARG00000107254,BX321887.4,,
ENSDARG00000107277,BX321887.5,,
ENSDARG00000106294,CT009705.3,,
ENSDARG00000106571,CR450840.1,,
ENSDARG00000105936,CR376751.2,,
ENSDARG00000107972,CABZ01026482.1,,
ENSDARG00000108958,BX005260.1,,
ENSDARG00000107362,CABZ01074097.1,,
ENSDARG00000106140,FO834917.1,,
ENSDARG00000108396,CABZ01074101.1,,
ENSDARG00000105895,AL929210.2,,
ENSDARG00000108696,CABZ01073286.1,,
ENSDARG00000107894,CABZ01099752.1,,
ENSDARG00000107766,CR354594.1,,
ENSDARG00000106818,CR391953.1,,
ENSDARG00000108065,AL929210.5,,
ENSDARG00000107740,CABZ01084083.1,,
ENSDARG00000108136,CABZ01113599.1,,
ENSDARG00000107882,CR457444.7,,
ENSDARG00000108975,BX537304.1,,
ENSDARG00000106448,CR376857.1,,
ENSDARG00000106208,BX322536.1,,
ENSDARG00000106119,CABZ01093424.1,,
ENSDARG00000105939,BX664742.3,,
ENSDARG00000108909,CT025852.1,,
ENSDARG00000107939,BX322577.2,,
ENSDARG00000107272,CR376741.3,,
ENSDARG00000108791,FP102271.1,,
ENSDARG00000107991,CABZ01083479.1,,
ENSDARG00000107508,CABZ01073834.1,,
ENSDARG00000107111,CABZ01034364.1,,
ENSDARG00000107464,AL935295.2,,
ENSDARG00000106539,FP236328.1,,
ENSDARG00000108827,CABZ01058107.1,,
ENSDARG00000108334,BX908799.2,,
ENSDARG00000108896,BX293993.2,,
ENSDARG00000108128,AL954132.2,,
ENSDARG00000107996,CR352302.1,,
ENSDARG00000108257,BX957332.1,,
ENSDARG00000108023,CT583720.4,,
ENSDARG00000108205,CR925720.1,,
ENSDARG00000107011,CT583720.2,,
ENSDARG00000108620,BX324172.1,,
ENSDARG00000106622,CR339058.1,,
ENSDARG00000108770,BX950207.2,,
ENSDARG00000107547,CR396584.3,,
ENSDARG00000106316,CR352232.4,,
ENSDARG00000105928,CR352232.3,,
ENSDARG00000107455,CR769766.2,,
ENSDARG00000106235,CR769766.1,,
ENSDARG00000107391,BX284620.1,,
ENSDARG00000108190,CABZ01102719.1,,
ENSDARG00000107963,CT997819.3,,
ENSDARG00000107273,BX255935.5,,
ENSDARG00000108869,FO704916.1,,
ENSDARG00000106444,BX323444.2,,
ENSDARG00000106201,BX255935.4,,
ENSDARG00000108443,CABZ01088509.1,,
ENSDARG00000108941,CABZ01111458.1,,
ENSDARG00000106122,CABZ01047430.1,,
ENSDARG00000108468,CR790366.4,,
ENSDARG00000107897,FP015915.2,,
ENSDARG00000108398,CABZ01061953.1,,
ENSDARG00000106035,CABZ01061954.1,,
ENSDARG00000106320,CABZ01061954.2,,
ENSDARG00000106792,CABZ01021592.1,,
ENSDARG00000107163,CABZ01021592.2,,
ENSDARG00000108826,CR392352.1,,
ENSDARG00000106548,CABZ01088691.1,,
ENSDARG00000108199,FQ378011.1,,
ENSDARG00000108728,CR392332.1,,
ENSDARG00000107249,CR749763.10,,
ENSDARG00000108035,CR749763.11,,
ENSDARG00000105979,CR749763.8,,
ENSDARG00000106752,CR376835.3,,
ENSDARG00000106197,CR376835.2,,
ENSDARG00000108195,AL928725.3,,
ENSDARG00000109114,FP016066.1,,
ENSDARG00000108656,BX005051.1,,
ENSDARG00000106272,CU302321.1,,
ENSDARG00000108658,CABZ01094029.1,,
ENSDARG00000108276,CR846102.1,,
ENSDARG00000107250,CABZ01088913.1,,
ENSDARG00000107750,CR559941.1,,
ENSDARG00000107155,CABZ01061898.1,,
ENSDARG00000108352,BX649276.1,,
ENSDARG00000106460,CABZ01072848.1,,
ENSDARG00000108852,CR381619.1,,
ENSDARG00000106183,CABZ01062649.1,,
ENSDARG00000108018,CABZ01089930.1,,
ENSDARG00000107120,CABZ01078989.1,,
ENSDARG00000106034,CABZ01010098.1,,
ENSDARG00000106878,CR788256.1,,
ENSDARG00000108913,CABZ01083444.1,,
ENSDARG00000106748,BX088646.1,,
ENSDARG00000105915,CABZ01017833.1,,
ENSDARG00000107365,CABZ01074850.1,,
ENSDARG00000105931,CABZ01087638.1,,
ENSDARG00000108564,CABZ01092139.1,,
ENSDARG00000107736,BX323593.1,,
ENSDARG00000107884,CT573357.2,,
ENSDARG00000108496,CABZ01108088.1,,
ENSDARG00000105916,CABZ01059417.1,,
ENSDARG00000107257,CABZ01059417.2,,
ENSDARG00000107675,CABZ01059417.3,,
ENSDARG00000106549,BX957317.3,,
ENSDARG00000107467,CABZ01081462.1,,
ENSDARG00000107708,CABZ01113190.1,,
ENSDARG00000108225,CABZ01068843.1,,
ENSDARG00000107400,CABZ01073163.1,,
ENSDARG00000108583,CABZ01042944.2,,
ENSDARG00000106637,CR769778.1,,
ENSDARG00000108601,CR533579.1,,
ENSDARG00000106925,CR848703.1,,
ENSDARG00000106935,BX323033.1,,
ENSDARG00000108020,BX072562.1,,
ENSDARG00000106051,AL935128.1,,
ENSDARG00000107569,FQ790226.1,,
ENSDARG00000107392,CABZ01090118.1,,
ENSDARG00000107893,BX901908.2,,
ENSDARG00000106164,BX296552.2,,
ENSDARG00000107058,CABZ01073548.1,,
ENSDARG00000106192,CR848683.2,,
ENSDARG00000105926,BX537293.1,,
ENSDARG00000106219,CABZ01027551.1,,
ENSDARG00000105905,BX901908.1,,
ENSDARG00000107322,CABZ01053235.1,,
ENSDARG00000107242,BX663519.2,,
ENSDARG00000107161,CR812469.2,,
ENSDARG00000106057,BX470068.1,,
ENSDARG00000108092,AL929453.2,,
ENSDARG00000106189,BX649600.1,,
ENSDARG00000106134,BX248331.4,,
ENSDARG00000107780,CABZ01000798.1,,
ENSDARG00000108575,CABZ01084868.1,,
ENSDARG00000081145,dre-mir-181b-1,,
ENSDARG00000083588,CABZ01039424.1,,
ENSDARG00000108902,CABZ01103925.1,,
ENSDARG00000107979,dre-let-7a-1,,
ENSDARG00000081646,dre-mir-205,,
ENSDARG00000109169,CU138548.18,,
ENSDARG00000106220,CU138548.11,,
ENSDARG00000106191,CU138548.10,,
ENSDARG00000106341,CU138548.12,,
ENSDARG00000108630,CU138548.16,,
ENSDARG00000108222,CU138548.15,,
ENSDARG00000085889,dre-mir-2185-1,,
ENSDARG00000084920,dre-mir-2185-1,,
ENSDARG00000085506,dre-mir-2185-1,,
ENSDARG00000106149,CR847936.9,,
ENSDARG00000106693,CR847936.13,,
ENSDARG00000098606,dre-mir-430c-1,,
ENSDARG00000102547,dre-mir-430c-1,,
ENSDARG00000099310,dre-mir-430c-1,,
ENSDARG00000100490,dre-mir-430c-1,,
ENSDARG00000103803,dre-mir-430c-1,,
ENSDARG00000080833,dre-mir-27b,,
ENSDARG00000082394,dre-mir-130c-1,,
ENSDARG00000081499,dre-mir-375-1,,
ENSDARG00000081915,CR847548.1,,
ENSDARG00000081514,dre-mir-23b,,
ENSDARG00000083272,dre-mir-217,,
ENSDARG00000100273,dre-mir-19b,,
ENSDARG00000090755,dre-mir-430b-10,,
ENSDARG00000081800,CU929237.1,,
ENSDARG00000081529,dre-mir-30d,,
ENSDARG00000081313,dre-mir-9-7,,
ENSDARG00000082396,dre-mir-206-1,,
ENSDARG00000090098,dre-mir-30a,,
ENSDARG00000083365,dre-mir-148,,
ENSDARG00000083027,dre-mir-732,,
ENSDARG00000081629,dre-mir-7a-3,,
ENSDARG00000100569,CT583728.9,,
ENSDARG00000100767,CT583728.10,,
ENSDARG00000104843,CT583728.22,,
ENSDARG00000103352,dre-mir-1-2,,
ENSDARG00000080467,dre-mir-183,,
ENSDARG00000081232,dre-mir-454b,,
ENSDARG00000080347,dre-mir-130b,,
ENSDARG00000085526,dre-mir-2195,,
ENSDARG00000081044,dre-mir-125a-2,,
ENSDARG00000098352,dre-mir-430b-1,,
ENSDARG00000080888,dre-mir-1788,,
ENSDARG00000080041,dre-mir-192,,
ENSDARG00000105128,dre-mir-193a-2,,
ENSDARG00000098723,dre-mir-2189,,
ENSDARG00000106803,BX470232.1,,
ENSDARG00000100135,dre-mir-7146,,
ENSDARG00000099081,CABZ01040938.1,,
ENSDARG00000107022,BX530018.3,,
ENSDARG00000108165,CABZ01084774.1,,
ENSDARG00000108627,CABZ01084774.2,,
ENSDARG00000088395,dre-mir-430b-6,,
ENSDARG00000083181,dre-mir-27c-1,,
ENSDARG00000098943,dre-mir-7148,,
ENSDARG00000082257,dre-mir-219-1,,
ENSDARG00000089649,BX927136.1,,
ENSDARG00000106858,FP565451.2,,
ENSDARG00000108318,BX664750.7,,
ENSDARG00000088031,BX511311.1,,
ENSDARG00000106115,BX511311.6,,
ENSDARG00000108998,BX649628.5,,
ENSDARG00000107141,CR847936.16,,
ENSDARG00000108477,BX537296.10,,
ENSDARG00000088322,mir1-1,,
ENSDARG00000103076,BX927341.7,,
ENSDARG00000101506,BX927341.5,,
ENSDARG00000080484,dre-mir-21-2,,
ENSDARG00000104548,dre-mir-133a-1,,
ENSDARG00000080051,dre-mir-459,,
ENSDARG00000081987,dre-mir-457a,,
ENSDARG00000082169,dre-mir-301b,,
ENSDARG00000085733,dre-mir-2197,,
ENSDARG00000083123,dre-mir-125a-1,,
ENSDARG00000081095,dre-mir-182,,
ENSDARG00000080655,dre-mir-124-1,,
ENSDARG00000081837,dre-mir-15a-2,,
ENSDARG00000081303,BX511227.1,,
ENSDARG00000081745,dre-mir-218a-1,,
ENSDARG00000083357,dre-mir-203b,,
ENSDARG00000080599,dre-mir-24-3,,
ENSDARG00000081442,dre-let-7c-1,,
ENSDARG00000082454,dre-mir-27a,,
ENSDARG00000081331,dre-mir-138,,
ENSDARG00000083082,dre-mir-129-2,,
ENSDARG00000081311,dre-mir-124-2,,
ENSDARG00000081891,BX547935.1,,
ENSDARG00000083496,dre-mir-9-4,,
ENSDARG00000081975,dre-let-7e,,
ENSDARG00000081190,dre-mir-132-1,,
ENSDARG00000081785,dre-let-7a-2,,
ENSDARG00000082908,CR847944.3,,
ENSDARG00000081638,dre-mir-10c,,
ENSDARG00000086116,dre-mir-430b-4,,
ENSDARG00000098981,dre-mir-126b,,
ENSDARG00000090368,dre-mir-132-2,,
ENSDARG00000082315,dre-mir-10a,,
ENSDARG00000081608,dre-mir-216a,,
ENSDARG00000083269,dre-mir-218b,,
ENSDARG00000082513,dre-mir-143-1,,
ENSDARG00000081284,dre-mir-29b-2,,
ENSDARG00000080594,dre-mir-9-3,,
ENSDARG00000082154,dre-mir-92a-2,,
ENSDARG00000089867,dre-mir-430a-4,,
ENSDARG00000087942,dre-mir-430a-4,,
ENSDARG00000080565,dre-mir-212,,
ENSDARG00000089119,BX663516.1,,
ENSDARG00000080568,dre-mir-731,,
ENSDARG00000081593,FP236454.1,,
ENSDARG00000081883,CABZ01078244.1,,
ENSDARG00000082755,dre-let-7a-4,,
ENSDARG00000089634,dre-mir-2188,,
ENSDARG00000081512,dre-mir-204-2,,
ENSDARG00000084219,dre-mir-2191,,
ENSDARG00000080499,SNORA13,,
ENSDARG00000102603,mascRNA-menRNA,ENSG00000275948,mascRNA-menRNA
ENSDARG00000100800,mascRNA-menRNA,ENSG00000275948,mascRNA-menRNA
ENSDARG00000082811,SNORD58,ENSG00000271982,SNORD58B
ENSDARG00000082811,SNORD58,ENSG00000212615,SNORD58
